"Rank","Mountain","Elevation","Prominence","Coordinates","Range [Note 4]","Range[Note 5]","Region [Note 6]","Country","First[5] ascent"
"311","Hoher Seeblaskogel","3235","370","47°05′44″N 11°04′29″E﻿ / ﻿47.09556°N 11.07472°E﻿ / 47.09556; 11.07472﻿ (311. Hoher Seeblaskogel (3235 m))","Stubai Alps","II/A-16.II-B","North Tyrol","AT","1881"
"312","Pic des Houerts (it)","3235","364","44°35′16″N 06°46′02″E﻿ / ﻿44.58778°N 6.76722°E﻿ / 44.58778; 6.76722﻿ (312. Pic des Houerts (3235 m))","Southern Cottian Alps","I/A-04.I-B","AdHP/H-Alpes","FR",""
"313","Ofenhorn / Punta d'Arbola","3235","334","46°23′12″N 08°19′07″E﻿ / ﻿46.38667°N 8.31861°E﻿ / 46.38667; 8.31861﻿ (313. Ofenhorn / Pta d'Arbola (3235 m))","Leone-Gotthard Alps","I/B-10.I-A","Valais/V-C-O","CH/IT","1864"
"314","Becca del Merlo","3234","331","45°50′38″N 07°28′14″E﻿ / ﻿45.84389°N 7.47056°E﻿ / 45.84389; 7.47056﻿ (314. Becca del Merlo (3234 m))","Weisshorn-Matterhorn","I/B-09.II-B","Aosta Valley","IT",""
"315","Großer Muntanitz","3232","717","47°04′25″N 12°35′21″E﻿ / ﻿47.07361°N 12.58917°E﻿ / 47.07361; 12.58917﻿ (315. Großer Muntanitz (3232 m))","Granatspitze Group","II/A-17.II-B","East Tyrol","AT","1871"
"316","Le Péouvou","3232","488","44°37′49″N 06°53′01″E﻿ / ﻿44.63028°N 6.88361°E﻿ / 44.63028; 6.88361﻿ (316. Le Péouvou (3232 m))","Southern Cottian Alps","I/A-04.I-A","AdHP/H-Alpes","FR","1888"
"317","Corno di Dosdè","3232","302","46°24′28″N 10°10′11″E﻿ / ﻿46.40778°N 10.16972°E﻿ / 46.40778; 10.16972﻿ (317. Corno di Dosdè (3232 m))","Livigno Alps","II/A-15.IV-B","Sondrio","IT","1866"
"318","Hoher Riffler","3231","321","47°04′52″N 11°42′16″E﻿ / ﻿47.08111°N 11.70444°E﻿ / 47.08111; 11.70444﻿ (318. Hoher Riffler (3231 m))","Zillertal Alps","II/A-17.I-A","North Tyrol","AT","1853"
"319","Augstenberg/Piz Blaisch Lunga","3230","432","46°51′52″N 10°12′14″E﻿ / ﻿46.86444°N 10.20389°E﻿ / 46.86444; 10.20389﻿ (319. Augstenberg / Piz Blaisch Lunga (3230 m))","Silvretta","II/A-15.VI-A","N-Tyrol/Graub.","AT/CH","1881"
"320","Piz Vadret","3229","660","46°41′13″N 09°57′46″E﻿ / ﻿46.68694°N 9.96278°E﻿ / 46.68694; 9.96278﻿ (320. Piz Vadret (3229 m))","Albula Alps","II/A-15.II-B","Graubünden","CH","1867"
"321","Grand Galibier (fr)","3228","635","45°03′50″N 06°26′03″E﻿ / ﻿45.06389°N 6.43417°E﻿ / 45.06389; 6.43417﻿ (321. Grand Galibier (3228 m))","Massif des Cerces","I/A-04.III-A","H-Alpes/Savoy","FR","1877"
"322","Tofana di Rozes","3225","664","46°32′13″N 12°03′04″E﻿ / ﻿46.53694°N 12.05111°E﻿ / 46.53694; 12.05111﻿ (322. Tofana di Rozes (3225 m))","Dolomites - NE","II/C-31.I-D","Belluno","IT","1864"
"323","Hintere Stangenspitze","3225","465","47°03′26″N 11°58′34″E﻿ / ﻿47.05722°N 11.97611°E﻿ / 47.05722; 11.97611﻿ (323. Hintere Stangenspitze (3225 m))","Zillertal Alps","II/A-17.I-B","North Tyrol","AT","1891"
"324","Monte Gavia","3223","309","46°21′15″N 10°28′21″E﻿ / ﻿46.35417°N 10.47250°E﻿ / 46.35417; 10.47250﻿ (324. Monte Gavia (3223 m))","Ortler Alps","II/C-28.I-B","Brescia/Sondrio","IT","1891"
"325","Rocca Bernauda /Roche Bernaude","3222","682","45°06′05″N 06°37′39″E﻿ / ﻿45.10139°N 6.62750°E﻿ / 45.10139; 6.62750﻿ (325. Rocca Bernauda / Roche Bernaude (3222 m))","Massif des Cerces","I/A-04.III-A","H-Alpes/Turin","FR/IT","1882"
"326","Monte Cristallo","3221","1416","46°34′31″N 12°12′02″E﻿ / ﻿46.57528°N 12.20056°E﻿ / 46.57528; 12.20056﻿ (326. Monte Cristallo (3221 m))","Dolomites - NE","II/C-31.I-D","Belluno","IT","1865"
"327","Monte Civetta","3220","1454","46°22′48″N 12°03′12″E﻿ / ﻿46.38000°N 12.05333°E﻿ / 46.38000; 12.05333﻿ (327. Monte Civetta (3220 m))","Dolomites - SE","II/C-31.II-A","Belluno","IT","1860"
"328","Tour Sallière","3220","726","46°07′37″N 06°55′29″E﻿ / ﻿46.12694°N 6.92472°E﻿ / 46.12694; 6.92472﻿ (328. Tour Sallière (3220 m))","Chablais Alps","I/B-08.II-A","Valais","CH","1858"
"329","Vorderes Plattenhorn: Ostgipfel","3220","300","46°48′36″N 10°01′59″E﻿ / ﻿46.81000°N 10.03306°E﻿ / 46.81000; 10.03306﻿ (329. Vorderes Plattenhorn: Ostgipfel (3220 m))","Silvretta","II/A-15.VI-A","Graubünden","CH","1868"
"330","Vogelberg","3218","303","46°28′42″N 09°03′55″E﻿ / ﻿46.47833°N 9.06528°E﻿ / 46.47833; 9.06528﻿ (330. Vogelberg (3218 m))","Adula Alps","I/B-10.III-B","Graub./Ticino","CH","1864"
"331","Monte del Forno","3214","446","46°20′18″N 09°43′29″E﻿ / ﻿46.33833°N 9.72472°E﻿ / 46.33833; 9.72472﻿ (331. Monte del Forno (3214 m))","Bregaglia Range","II/A-15.III-B","Graub./Sondrio","CH/IT","1876"
"332","Bec de l'Ane","3213","372","45°36′56″N 06°59′02″E﻿ / ﻿45.61556°N 6.98389°E﻿ / 45.61556; 6.98389﻿ (332. Bec de l'Ane (3213 m))","Graian Alps - Central","I/B-07.III-B","Savoy","FR",""
"333","Le Métailler","3213","302","46°06′14″N 07°21′37″E﻿ / ﻿46.10389°N 7.36028°E﻿ / 46.10389; 7.36028﻿ (333. Le Métailler (3213 m))","Grand Combin Alps","I/B-09.I-D","Valais","CH",""
"334","Piz Medel","3211","952","46°37′06″N 08°54′40″E﻿ / ﻿46.61833°N 8.91111°E﻿ / 46.61833; 8.91111﻿ (334. Piz Medel (3211 m))","Adula Alps","I/B-10.III-A","Graub./Ticino","CH","1865"
"335","Scherbadung / Pizzo Cervandone","3211","716","46°19′27″N 08°13′23″E﻿ / ﻿46.32417°N 8.22306°E﻿ / 46.32417; 8.22306﻿ (335. Scherbadung / Pizzo Cervandone (3211 m))","Leone-Gotthard Alps","I/B-10.I-A","Valais/V-C-O","CH/IT","1886"
"336","Diablerets","3210","968","46°18′14″N 07°11′20″E﻿ / ﻿46.30389°N 7.18889°E﻿ / 46.30389; 7.18889﻿ (336. Diablerets (3210 m))","Vaud Alps","I/B-12.III-A","Valais/Vaud","CH","1850"
"337","Gran Vernel (it)","3210","314","46°26′33″N 11°49′56″E﻿ / ﻿46.44250°N 11.83222°E﻿ / 46.44250; 11.83222﻿ (337. Gran Vernel (3210 m))","Dolomites - NW","II/C-31.III-B","Trentino","IT","1879"
"338","Piz Timun /Pizzo d'Emet","3209","823","46°28′01″N 09°24′34″E﻿ / ﻿46.46694°N 9.40944°E﻿ / 46.46694; 9.40944﻿ (338. Piz Timun / Pizzo d'Emet (3209 m))","Oberhalbstein Range","II/A-15.I-A","Graub./Sondrio","CH/IT","1884"
"339","Piz Cambrialas","3208","364","46°47′22″N 08°51′07″E﻿ / ﻿46.78944°N 8.85194°E﻿ / 46.78944; 8.85194﻿ (339. Piz Cambrialas (3208 m))","Glarus Alps","I/B-13.I-A","Graubünden","CH","1905"
"340","Pic du Thabor","3207","711","45°07′07″N 06°33′44″E﻿ / ﻿45.11861°N 6.56222°E﻿ / 45.11861; 6.56222﻿ (340. Pic du Thabor (3207 m))","Massif des Cerces","I/A-04.III-A","Savoy","FR","1878"
"341","Hocheiser","3206","567","47°09′23″N 12°40′24″E﻿ / ﻿47.15639°N 12.67333°E﻿ / 47.15639; 12.67333﻿ (341. Hocheiser (3206 m))","Glockner Group","II/A-17.II-C","Salzburg","AT","1871"
"342","Glödis","3206","376","46°57′40″N 12°43′34″E﻿ / ﻿46.96111°N 12.72611°E﻿ / 46.96111; 12.72611﻿ (342. Glödis (3206 m))","Schober Group","II/A-17.II-D","East Tyrol","AT","1871"
"343","Pointe Haute de Mary (it)","3206","326","44°34′32″N 06°53′41″E﻿ / ﻿44.57556°N 6.89472°E﻿ / 44.57556; 6.89472﻿ (343. Pte Haute de Mary (3206 m))","Southern Cottian Alps","I/A-04.I-A","A-d-H-Provence","FR","1879"
"344","Punta Sorapiss","3205","1085","46°30′25″N 12°12′42″E﻿ / ﻿46.50694°N 12.21167°E﻿ / 46.50694; 12.21167﻿ (344. Pta Sorapiss (3205 m))","Dolomites - NE","II/C-31.I-D","Belluno","IT","1864"
"345","Piz Sesvenna","3204","1055","46°42′21″N 10°24′10″E﻿ / ﻿46.70583°N 10.40278°E﻿ / 46.70583; 10.40278﻿ (345. Piz Sesvenna (3204 m))","Sesvenna Range","II/A-15.V-B","Graubünden","CH",""
"346","Kitzsteinhorn","3203","436","47°11′17″N 12°41′16″E﻿ / ﻿47.18806°N 12.68778°E﻿ / 47.18806; 12.68778﻿ (346. Kitzsteinhorn (3203 m))","Glockner Group","II/A-17.II-C","Salzburg","AT","1828"
"347","Schwarzhorn","3201","308","46°13′00″N 07°45′24″E﻿ / ﻿46.21667°N 7.75667°E﻿ / 46.21667; 7.75667﻿ (347. Schwarzhorn (3201 m))","Weisshorn-Matterhorn","I/B-09.II-D","Valais","CH",""
"348","Mastaunspitze","3200","455","46°41′37″N 10°48′09″E﻿ / ﻿46.69361°N 10.80250°E﻿ / 46.69361; 10.80250﻿ (348. Mastaunspitze (3200 m))","Ötztal Alps","II/A-16.I-A","South Tyrol","IT","1854"
"349","Piz Vadret","3199","308","46°30′32″N 09°57′03″E﻿ / ﻿46.50889°N 9.95083°E﻿ / 46.50889; 9.95083﻿ (349. Piz Vadret (3199 m))","Livigno Alps","II/A-15.IV-A","Graubünden","CH",""
"350","Gross Spannort","3198","616","46°47′12″N 08°31′28″E﻿ / ﻿46.78667°N 8.52444°E﻿ / 46.78667; 8.52444﻿ (350. Gross Spannort (3198 m))","Urner Alps","I/B-12.I-B","Uri","CH","1867"
"351","Dreiländerspitze","3197","306","46°51′03″N 10°08′41″E﻿ / ﻿46.85083°N 10.14472°E﻿ / 46.85083; 10.14472﻿ (351. Dreiländerspitze (3197 m))","Silvretta","II/A-15.VI-A","N-Tyr/Vor/Graub.","AT/CH","1853"
"352","Pointes de Pierre Brune","3196","354","45°22′41″N 06°51′25″E﻿ / ﻿45.37806°N 6.85694°E﻿ / 45.37806; 6.85694﻿ (352. Ptes de Pierre Brune (3196 m))","Vanoise massif","I/B-07.II-A","Savoy","FR",""
"353","Mont Tondu","3196","301","45°45′50″N 06°45′20″E﻿ / ﻿45.76389°N 6.75556°E﻿ / 45.76389; 6.75556﻿ (353. Mont Tondu (3196 m))","Mont Blanc massif","I/B-07.V-A","Savoy","FR",""
"354","Bortelhorn/ Punta del Rebbio","3193.6","430","46°17′41″N 08°07′31″E﻿ / ﻿46.29472°N 8.12528°E﻿ / 46.29472; 8.12528﻿ (354. Bortelhorn / Pta del Rebbio (3193.6 m))","Leone-Gotthard Alps","I/B-10.I-A","Valais/V-C-O","CH/IT","1869"
"355","Rocca Blancia (it)","3193","328","44°29′57″N 06°51′53″E﻿ / ﻿44.49917°N 6.86472°E﻿ / 44.49917; 6.86472﻿ (355. Rocca Blancia (3193 m))","Southern Cottian Alps","I/A-04.I-A","AdHP/Cuneo","FR/IT",""
"356","Cima Vezzana","3192","1273","46°17′23″N 11°49′49″E﻿ / ﻿46.28972°N 11.83028°E﻿ / 46.28972; 11.83028﻿ (356. Cima Vezzana (3192 m))","Dolomites - S","II/C-31.IV-A","Belluno/Trentino","IT","1872"
"357","Pizzo Rotondo","3192","752","46°31′03″N 08°27′58″E﻿ / ﻿46.51750°N 8.46611°E﻿ / 46.51750; 8.46611﻿ (357. Pizzo Rotondo (3192 m))","Leone-Gotthard Alps","I/B-10.I-B","Ticino/Valais","CH","1869"
"358","Hübschhorn I","3192","325","46°14′13″N 08°03′19″E﻿ / ﻿46.23694°N 8.05528°E﻿ / 46.23694; 8.05528﻿ (358. Hübschhorn I (3192 m))","Leone-Gotthard Alps","I/B-10.I-A","Valais","CH",""
"359","Scopi","3190","792","46°34′18″N 08°49′48″E﻿ / ﻿46.57167°N 8.83000°E﻿ / 46.57167; 8.83000﻿ (359. Scopi (3190 m))","Adula Alps","I/B-10.III-A","Graub./Ticino","CH","1782"
"360","Löffelspitze","3190","303","47°01′03″N 12°09′52″E﻿ / ﻿47.01750°N 12.16444°E﻿ / 47.01750; 12.16444﻿ (360. Löffelspitze (3190 m))","Venediger Group","II/A-17.II-A","East Tyrol","AT","1877"
"361","Spechhorn / Pizzo d'Antigine","3189","355","46°00′44″N 08°00′04″E﻿ / ﻿46.01222°N 8.00111°E﻿ / 46.01222; 8.00111﻿ (361. Spechhorn / Pizzo d'Antigine (3189 m))","Weissmies Alps","I/B-09.V-B","Valais/V-C-O","CH/IT",""
"362","Gleirscher Fernerkogel","3189","321","47°06′51″N 11°03′49″E﻿ / ﻿47.11417°N 11.06361°E﻿ / 47.11417; 11.06361﻿ (362. Gleirscher Fernerkogel (3189 m))","Stubai Alps","II/A-16.II-B","North Tyrol","AT","1883"
"363","Piz Surlej","3188","433","46°27′12″N 09°50′35″E﻿ / ﻿46.45333°N 9.84306°E﻿ / 46.45333; 9.84306﻿ (363. Piz Surlej (3188 m))","Bernina Range","II/A-15.III-A","Graubünden","CH","1846"
"364","Gross Windgällen","3187","552","46°48′26″N 08°43′56″E﻿ / ﻿46.80722°N 8.73222°E﻿ / 46.80722; 8.73222﻿ (364. Gross Windgällen (3187 m))","Glarus Alps","I/B-13.I-A","Uri","CH","1848"
"365","Mont Glacier","3186","355","45°37′53″N 07°32′23″E﻿ / ﻿45.63139°N 7.53972°E﻿ / 45.63139; 7.53972﻿ (365. Mont Glacier (3186 m))","Gran Paradiso Alps","I/B-07.IV-C","Aosta Valley","IT",""
"366","Becca di Tey","3186","301","45°35′10″N 07°05′41″E﻿ / ﻿45.58611°N 7.09472°E﻿ / 45.58611; 7.09472﻿ (366. Becca di Tey (3186 m))","Graian Alps - Central","I/B-07.III-A","Aosta Valley","IT",""
"367","Langkofel / Saslonch","3181","1124","46°31′30″N 11°44′07″E﻿ / ﻿46.52500°N 11.73528°E﻿ / 46.52500; 11.73528﻿ (367. Langkofel / Saslonch (3181 m))","Dolomites - NW","II/C-31.III-A","South Tyrol","IT","1869"
"368","Piz Murtaröl","3180","679","46°34′13″N 10°17′15″E﻿ / ﻿46.57028°N 10.28750°E﻿ / 46.57028; 10.28750﻿ (368. Piz Murtaröl (3180 m))","Ortler Alps","II/A-15.V-A","Graub./Sondrio","CH/IT","1893"
"369","Piz Tasna","3179","371","46°51′33″N 10°15′08″E﻿ / ﻿46.85917°N 10.25222°E﻿ / 46.85917; 10.25222﻿ (369. Piz Tasna (3179 m))","Silvretta","II/A-15.VI-A","Graubünden","CH","1849"
"370","Piz Pisoc","3173","922","46°44′40″N 10°16′46″E﻿ / ﻿46.74444°N 10.27944°E﻿ / 46.74444; 10.27944﻿ (370. Piz Pisoc (3173 m))","Sesvenna Range","II/A-15.V-B","Graubünden","CH","1865"
"371","Corn da Tinizong /Tinzenhorn","3173","474","46°36′42″N 09°40′16″E﻿ / ﻿46.61167°N 9.67111°E﻿ / 46.61167; 9.67111﻿ (371. Corn da Tinizong / Tinzenhorn (3173 m))","Albula Alps","II/A-15.II-A","Graubünden","CH","1866"
"372","Pte de Paumont / Cima del Vallone","3171","378","45°08′22″N 06°43′42″E﻿ / ﻿45.13944°N 6.72833°E﻿ / 45.13944; 6.72833﻿ (372. Pte de Paumont / Cima del Vallone (3171 m))","Northern Cottian Alps","I/A-04.III-B","Savoy/Turin","FR/IT",""
"373","Fensterlekofel","3171","373","46°53′32″N 12°02′35″E﻿ / ﻿46.89222°N 12.04306°E﻿ / 46.89222; 12.04306﻿ (373. Fensterlekofel (3171 m))","Rieserferner Group","II/A-17.III-A","South Tyrol","IT","1877"
"374","Pic du Clapier du Peyron","3169","556","44°56′14″N 06°04′37″E﻿ / ﻿44.93722°N 6.07694°E﻿ / 44.93722; 6.07694﻿ (374. Pic du Clapier du Peyron (3169 m))","Massif des Écrins","I/A-05.III-E","Isère","FR","1886"
"375","Hoher Riffler","3168","1341","47°06′58″N 10°22′15″E﻿ / ﻿47.11611°N 10.37083°E﻿ / 47.11611; 10.37083﻿ (375. Hoher Riffler (3168 m))","Verwall","II/A-15.VI-C","North Tyrol","AT","1864"
"376","Monte Pelmo","3168","1191","46°25′10″N 12°08′06″E﻿ / ﻿46.41944°N 12.13500°E﻿ / 46.41944; 12.13500﻿ (376. Monte Pelmo (3168 m))","Dolomites - SE","II/C-31.II-A","Belluno","IT","1857"
"377","Piz Tavrü","3168","851","46°40′45″N 10°17′46″E﻿ / ﻿46.67917°N 10.29611°E﻿ / 46.67917; 10.29611﻿ (377. Piz Tavrü (3168 m))","Sesvenna Range","II/A-15.V-B","Graubünden","CH","1893"
"378","Piz Vial","3168","465","46°37′55″N 08°58′09″E﻿ / ﻿46.63194°N 8.96917°E﻿ / 46.63194; 8.96917﻿ (378. Piz Vial (3168 m))","Adula Alps","I/B-10.III-A","Graubünden","CH","1873"
"379","Piz Plavna Dadaint","3167","490","46°42′31″N 10°13′25″E﻿ / ﻿46.70861°N 10.22361°E﻿ / 46.70861; 10.22361﻿ (379. Piz Plavna Dadaint (3167 m))","Sesvenna Range","II/A-15.V-B","Graubünden","CH","1891"
"380","Piz Albris","3166","318","46°27′51″N 09°57′48″E﻿ / ﻿46.46417°N 9.96333°E﻿ / 46.46417; 9.96333﻿ (380. Piz Albris (3166 m))","Livigno Alps","II/A-15.IV-A","Ticino/Sondrio","CH/IT",""
"381","Piz Lagrev","3165","855","46°26′45″N 09°43′22″E﻿ / ﻿46.44583°N 9.72278°E﻿ / 46.44583; 9.72278﻿ (381. Piz Lagrev (3165 m))","Albula Alps","II/A-15.II-A","Graubünden","CH","1875"
"382","Piz Quattervals","3165","471","46°37′38″N 10°05′42″E﻿ / ﻿46.62722°N 10.09500°E﻿ / 46.62722; 10.09500﻿ (382. Piz Quattervals (3165 m))","Livigno Alps","II/A-15.IV-A","Graubünden","CH","1848"
"383","Tête de Sautron /Monte Sautron (it)","3165","300","44°29′12″N 06°52′39″E﻿ / ﻿44.48667°N 6.87750°E﻿ / 44.48667; 6.87750﻿ (383. Tête de Sautron /Monte Sautron (3165 m))","Southern Cottian Alps","I/A-04.I-A","AdHP/Cuneo","FR/IT","1877"
"384","Rosa dei Banchi (it)","3164","314","45°34′38″N 07°31′57″E﻿ / ﻿45.57722°N 7.53250°E﻿ / 45.57722; 7.53250﻿ (384. Rosa dei Banchi (3164 m))","Gran Paradiso Alps","I/B-07.IV-B","Aosta/Turin","IT",""
"385","Vieux Chaillol (fr)","3163","678","44°44′10″N 06°11′26″E﻿ / ﻿44.73611°N 6.19056°E﻿ / 44.73611; 6.19056﻿ (385. Vieux Chaillol (3163 m))","Massif des Écrins","I/A-05.V-A","Hautes-Alpes","FR",""
"386","Pizzo Stella","3163","597","46°22′54″N 09°25′17″E﻿ / ﻿46.38167°N 9.42139°E﻿ / 46.38167; 9.42139﻿ (386. Pizzo Stella (3163 m))","Oberhalbstein Range","II/A-15.I-A","Sondrio","IT","1859"
"387","Pointe Clairy (it)","3162","979","45°14′39″N 06°52′23″E﻿ / ﻿45.24417°N 6.87306°E﻿ / 45.24417; 6.87306﻿ (387. Pta Clairy (3162 m))","Northern Cottian Alps","I/A-04.III-B","Savoy","FR",""
"388","Piz Mitgel","3159","445","46°36′51″N 09°38′48″E﻿ / ﻿46.61417°N 9.64667°E﻿ / 46.61417; 9.64667﻿ (388. Piz Mitgel (3159 m))","Albula Alps","II/A-15.II-A","Graubünden","CH","1867"
"389","Hausstock","3158","655","46°52′28″N 09°03′56″E﻿ / ﻿46.87444°N 9.06556°E﻿ / 46.87444; 9.06556﻿ (389. Hausstock (3158 m))","Glarus Alps","I/B-13.II-A","Glarus/Graub.","CH","1832"
"390","Monte Vallecetta","3156","493","46°24′43″N 10°24′01″E﻿ / ﻿46.41194°N 10.40028°E﻿ / 46.41194; 10.40028﻿ (390. Monte Vallecetta (3156 m))","Ortler Alps","II/C-28.I-B","Sondrio","IT","1867"
"391","Tête de Vautisse (fr)","3156","434","44°42′05″N 06°29′09″E﻿ / ﻿44.70139°N 6.48583°E﻿ / 44.70139; 6.48583﻿ (391. Tête de Vautisse (3156 m))","Massif des Écrins","I/A-05.III-C","Hautes-Alpes","FR","1887"
"392","Pic Ouest de Combeynot (fr)","3155","815","45°00′44″N 06°24′40″E﻿ / ﻿45.01222°N 6.41111°E﻿ / 45.01222; 6.41111﻿ (392. Pic Ouest de Combeynot (3155 m))","Massif des Écrins","I/A-05.III-A","Hautes-Alpes","FR",""
"393","Piz Prüna","3153","317","46°29′14″N 09°59′14″E﻿ / ﻿46.48722°N 9.98722°E﻿ / 46.48722; 9.98722﻿ (393. Piz Prüna (3153 m))","Livigno Alps","II/A-15.IV-A","Graubünden","CH",""
"394","Piz Boè","3152","939","46°30′32″N 11°49′41″E﻿ / ﻿46.50889°N 11.82806°E﻿ / 46.50889; 11.82806﻿ (394. Piz Boè (3152 m))","Dolomites - NW","II/C-31.III-A","Bell/S-Tyr/Tren","IT","1864"
"395","Piz Popena (it)","3152","344","46°34′35″N 12°12′27″E﻿ / ﻿46.57639°N 12.20750°E﻿ / 46.57639; 12.20750﻿ (395. Piz Popena (3152 m))","Dolomites - NE","II/C-31.I-D","Belluno","IT","1870"
"396","Cima Brenta","3151","1499","46°10′46″N 10°53′59″E﻿ / ﻿46.17944°N 10.89972°E﻿ / 46.17944; 10.89972﻿ (396. Cima Brenta (3151 m))","Brenta Dolomites","II/C-28.IV-A","Trentino","IT","1871"
"397","Piz Terri","3149","390","46°36′00″N 09°02′03″E﻿ / ﻿46.60000°N 9.03417°E﻿ / 46.60000; 9.03417﻿ (397. Piz Terri (3149 m))","Adula Alps","I/B-10.III-A","Graub./Ticino","CH","1802"
"398","Becs de Bosson","3149","362","46°10′04″N 07°31′05″E﻿ / ﻿46.16778°N 7.51806°E﻿ / 46.16778; 7.51806﻿ (398. Becs de Bosson (3149 m))","Weisshorn-Matterhorn","I/B-09.II-C","Valais","CH",""
"399","Kuchenspitze[Note 12]","3148","575","47°02′55″N 10°13′48″E﻿ / ﻿47.04861°N 10.23000°E﻿ / 47.04861; 10.23000﻿ (399. Kuchenspitze (3148 m))","Verwall","II/A-15.VI-C","North Tyrol","AT","1884"
"400","Zillerplattenspitze","3148","300","47°06′15″N 12°07′47″E﻿ / ﻿47.10417°N 12.12972°E﻿ / 47.10417; 12.12972﻿ (400. Zillerplattenspitze (3148 m))","Zillertal Alps","II/A-17.I-D","N-Tyrol/Salzburg","AT","1877"
"400","Pfroslkopf","3148","298","46°58′40″N 10°41′21″E﻿ / ﻿46.97778°N 10.68917°E﻿ / 46.97778; 10.68917﻿ (Pfroslkopf (3148 m))","Ötztal Alps","II/A-16.I-A","North Tyrol","AT","1887"
"401","Croda Rossa / Hohe Gaisl","3146","1133","46°38′05″N 12°08′37″E﻿ / ﻿46.63472°N 12.14361°E﻿ / 46.63472; 12.14361﻿ (401. Croda Rossa / Hohe Gaisl (3146 m))","Dolomites - NE","II/C-31.I-B","Belluno/S-Tyrol","IT","1870"
"402","Flüela Schwarzhorn","3146","609","46°44′09″N 09°56′30″E﻿ / ﻿46.73583°N 9.94167°E﻿ / 46.73583; 9.94167﻿ (402. Flüela Schwarzhorn (3146 m))","Albula Alps","II/A-15.II-B","Graubünden","CH","1835"
"403","Monte Rafray","3146","343","45°38′52″N 07°30′39″E﻿ / ﻿45.64778°N 7.51083°E﻿ / 45.64778; 7.51083﻿ (403. Monte Rafray (3146 m))","Gran Paradiso Alps","I/B-07.IV-C","Aosta Valley","IT",""
"404","Piz Mundin","3146","342","46°55′31″N 10°25′51″E﻿ / ﻿46.92528°N 10.43083°E﻿ / 46.92528; 10.43083﻿ (404. Piz Mundin (3146 m))","Samnaun Alps","II/A-15.VI-B","Graubünden","CH","1849"
"405","Dreischusterspitze","3145","1393","46°40′08″N 12°19′02″E﻿ / ﻿46.66889°N 12.31722°E﻿ / 46.66889; 12.31722﻿ (405. Dreischusterspitze (3145 m))","Sexten Dolomites","II/C-31.I-A","South Tyrol","IT","1869"
"406","Napfspitze (Dreiecketer) (de)","3144","587","47°03′36″N 12°02′23″E﻿ / ﻿47.06000°N 12.03972°E﻿ / 47.06000; 12.03972﻿ (406. Napfspitze (3144 m))","Zillertal Alps","II/A-17.I-B","N-Tyrol/S-Tyrol","AT/IT","1880"
"407","Piz Tea Fondada/Monte Cornaccia","3144","319","46°32′58″N 10°18′29″E﻿ / ﻿46.54944°N 10.30806°E﻿ / 46.54944; 10.30806﻿ (407. Piz Tea Fondada / Monte Cornaccia (3144 m))","Ortler Alps","II/A-15.V-A","Graub./Sondrio","CH/IT","1883"
"408","Cime du Gélas / Monte Gelàs","3143","669","44°07′23″N 07°23′05″E﻿ / ﻿44.12306°N 7.38472°E﻿ / 44.12306; 7.38472﻿ (408. Cime du Gélas / Monte Gelàs (3143 m))","Maritime Alps","I/A-02.I-A","A-Marit/Cuneo","FR/IT","1864"
"408","Jochköpfl","3143","297","46°55′39″N 11°06′28″E﻿ / ﻿46.92750°N 11.10778°E﻿ / 46.92750; 11.10778﻿ (Jochköpfl (3143 m))","Stubai Alps","II/A-16.II-A","North Tyrol","AT",""
"409","Monte Cassa del Ferro (it)","3140","849","46°34′43″N 10°12′06″E﻿ / ﻿46.57861°N 10.20167°E﻿ / 46.57861; 10.20167﻿ (409. Monte Cassa del Ferro (3140 m))","Livigno Alps","II/A-15.IV-A","Sondrio","IT","1883"
"410","Cima Tosa","3140","587","46°09′19″N 10°52′14″E﻿ / ﻿46.15528°N 10.87056°E﻿ / 46.15528; 10.87056﻿ (410. Cima Tosa (3140 m))","Brenta Dolomites","II/C-28.IV-A","Trentino","IT","1865"
"411","Cime Redasco","3139","377","46°22′10″N 10°18′28″E﻿ / ﻿46.36944°N 10.30778°E﻿ / 46.36944; 10.30778﻿ (411. Cime Redasco (3139 m))","Livigno Alps","II/A-15.IV-B","Sondrio","IT","1896"
"412","Gross Ruchen","3138","397","46°48′37″N 08°46′29″E﻿ / ﻿46.81028°N 8.77472°E﻿ / 46.81028; 8.77472﻿ (412. Gross Ruchen (3138 m))","Glarus Alps","I/B-13.I-A","Uri","CH","1864"
"413","Durreck","3135","618","46°57′40″N 12°01′44″E﻿ / ﻿46.96111°N 12.02889°E﻿ / 46.96111; 12.02889﻿ (413. Durreck (3135 m))","Venediger Group","II/A-17.II-A","South Tyrol","IT","1877"
"414","Wilde Kreuzspitze","3135","567","46°54′45″N 11°35′36″E﻿ / ﻿46.91250°N 11.59333°E﻿ / 46.91250; 11.59333﻿ (414. Wilde Kreuzspitze (3135 m))","Zillertal Alps","II/A-17.I-C","South Tyrol","IT","1852"
"415","Großer Friedrichskopf","3134","370","46°57′28″N 12°49′43″E﻿ / ﻿46.95778°N 12.82861°E﻿ / 46.95778; 12.82861﻿ (415. Großer Friedrichskopf (3134 m))","Schober Group","II/A-17.II-D","Carinthia","AT","1872"
